iter	Passed	Remaining
0	28	5730
1	43	4277
2	58	3862
3	71	3515
4	84	3285
5	96	3129
6	112	3096
7	125	3002
8	137	2925
9	150	2855
10	162	2795
11	174	2740
12	187	2702
13	200	2666
14	213	2637
15	227	2615
16	240	2588
17	253	2563
18	267	2548
19	280	2527
20	293	2503
21	307	2485
22	319	2459
23	332	2441
24	345	2419
25	360	2414
26	374	2396
27	386	2376
28	399	2357
29	413	2345
30	427	2329
31	439	2309
32	453	2293
33	466	2279
34	480	2263
35	495	2256
36	533	2349
37	573	2446
38	613	2531
39	693	2775
40	765	2967
41	800	3010
42	869	3173
43	925	3283
44	995	3430
45	1066	3571
46	1139	3709
47	1202	3808
48	1243	3830
49	1311	3935
50	1361	3979
51	1414	4026
52	1518	4211
53	1569	4242
54	1627	4291
55	1682	4327
56	1728	4336
57	1781	4362
58	1831	4377
59	1892	4416
60	2003	4566
61	2058	4582
62	2119	4608
63	2182	4638
64	2264	4702
65	2325	4722
66	2387	4739
67	2457	4771
68	2508	4763
69	2549	4734
70	2580	4687
71	2643	4700
72	2717	4728
73	2754	4690
74	2811	4686
75	2852	4654
76	2901	4635
77	2945	4606
78	2992	4582
79	3046	4570
80	3105	4562
81	3166	4556
82	3217	4535
83	3283	4533
84	3358	4543
85	3440	4561
86	3493	4538
87	3542	4508
88	3601	4491
89	3643	4453
90	3683	4411
91	3748	4400
92	3793	4364
93	3843	4334
94	3924	4337
95	3970	4301
96	4028	4278
97	4079	4246
98	4120	4203
99	4176	4176
100	4246	4162
101	4293	4124
102	4337	4084
103	4365	4029
104	4390	3972
105	4415	3915
106	4438	3858
107	4454	3794
108	4467	3730
109	4481	3666
110	4495	3604
111	4509	3543
112	4526	3485
113	4540	3425
114	4554	3366
115	4569	3308
116	4583	3251
117	4596	3193
118	4610	3138
119	4625	3083
120	4639	3028
121	4660	2979
122	4675	2927
123	4691	2875
124	4708	2824
125	4723	2774
126	4737	2723
127	4761	2678
128	4776	2628
129	4792	2580
130	4809	2533
131	4824	2485
132	4841	2438
133	4858	2393
134	4873	2346
135	4888	2300
136	4903	2254
137	4917	2209
138	4930	2163
139	4944	2118
140	4958	2074
141	4973	2031
142	4986	1987
143	5000	1944
144	5015	1902
145	5029	1860
146	5043	1818
147	5057	1776
148	5071	1735
149	5084	1694
150	5097	1654
151	5110	1613
152	5125	1574
153	5138	1535
154	5153	1496
155	5166	1457
156	5180	1418
157	5193	1380
158	5206	1342
159	5221	1305
160	5235	1268
161	5249	1231
162	5263	1194
163	5277	1158
164	5291	1122
165	5304	1086
166	5318	1050
167	5332	1015
168	5345	980
169	5360	945
170	5375	911
171	5389	877
172	5403	843
173	5417	809
174	5431	775
175	5445	742
176	5459	709
177	5472	676
178	5487	643
179	5501	611
180	5514	578
181	5529	546
182	5544	515
183	5558	483
184	5571	451
185	5585	420
186	5599	389
187	5612	358
188	5627	327
189	5640	296
190	5654	266
191	5667	236
192	5682	206
193	5696	176
194	5709	146
195	5722	116
196	5737	87
197	5752	58
198	5767	28
199	5780	0
